"id","zipcode","city","combi","agent_id","agent_name","agent_phone","agency_name","agency_address"
43,1041,"Naz","1041 Naz","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
44,1041,"Poliez-le-Grand","1041 Poliez-le-Grand","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
45,1041,"Poliez-Pittet","1041 Poliez-Pittet","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
46,1042,"Assens","1042 Assens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
47,1042,"Bettens","1042 Bettens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
48,1042,"Bioley-Orjulaz","1042 Bioley-Orjulaz","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
49,1043,"Sugnens","1043 Sugnens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
50,1044,"Fey","1044 Fey","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
51,1045,"Ogens","1045 Ogens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
52,1046,"Rueyres","1046 Rueyres","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
53,1047,"Oppens","1047 Oppens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
54,1052,"Mont-sur-Lausanne","1052 Mont-sur-Lausanne","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
55,1053,"Bretigny-Morrens","1053 Bretigny-Morrens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
56,1053,"Cugy VD","1053 Cugy VD","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
57,1054,"Morrens VD","1054 Morrens VD","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
58,1055,"Froideville","1055 Froideville","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
59,1058,"Villars-Tiercelin","1058 Villars-Tiercelin","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
60,1059,"Peney-le-Jorat","1059 Peney-le-Jorat","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
61,1061,"Villars-Mendraz","1061 Villars-Mendraz","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
62,1062,"Sottens","1062 Sottens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
63,1063,"Boulens","1063 Boulens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
64,1063,"Chapelle-s-Moudon","1063 Chapelle-s-Moudon","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
65,1063,"Martherenges","1063 Martherenges","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
66,1063,"Peyres-Possens","1063 Peyres-Possens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
67,1066,"Epalinges","1066 Epalinges","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
68,1068,"Les Monts-de-Pully","1068 Les Monts-de-Pully","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
69,1070,"Puidoux","1070 Puidoux","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
70,1071,"Chexbres","1071 Chexbres","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
71,1071,"Rivaz","1071 Rivaz","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
72,1071,"St-Saphorin-Lavaux","1071 St-Saphorin-Lavaux","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
73,1072,"Forel (Lavaux)","1072 Forel (Lavaux)","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
74,1073,"Mollie-Margot","1073 Mollie-Margot","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
75,1073,"Savigny","1073 Savigny","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
76,1076,"Ferlens VD","1076 Ferlens VD","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
77,1077,"Servion","1077 Servion","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
78,1078,"Essertes","1078 Essertes","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
79,1080,"Les Cullayes","1080 Les Cullayes","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
80,1081,"Montpreveyres","1081 Montpreveyres","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
81,1082,"Corcelles-le-Jorat","1082 Corcelles-le-Jorat","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
82,1083,"MéziÁres VD","1083 MéziÁres VD","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
83,1084,"Carrouge VD","1084 Carrouge VD","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
84,1085,"Vulliens","1085 Vulliens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
85,1088,"Ropraz","1088 Ropraz","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
86,1090,"La Croix (Lutry)","1090 La Croix (Lutry)","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
87,1091,"Aran","1091 Aran","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
88,1091,"Chenaux","1091 Chenaux","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
89,1091,"Grandvaux","1091 Grandvaux","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
90,1092,"Belmont-Lausanne","1092 Belmont-Lausanne","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
91,1093,"La Conversion","1093 La Conversion","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
92,1094,"Paudex","1094 Paudex","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
93,1095,"Lutry","1095 Lutry","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
94,1096,"Cully","1096 Cully","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
95,1096,"Villette (Lavaux)","1096 Villette (Lavaux)","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
96,1097,"Riex","1097 Riex","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
97,1098,"Epesses","1098 Epesses","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
98,1110,"Morges","1110 Morges","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
99,1112,"Echichens","1112 Echichens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
100,1113,"St-Saphorin-Morges","1113 St-Saphorin-Morges","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
101,1114,"Colombier VD","1114 Colombier VD","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
102,1115,"Vullierens","1115 Vullierens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
103,1116,"Cottens VD","1116 Cottens VD","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
104,1117,"Grancy","1117 Grancy","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
105,1121,"Bremblens","1121 Bremblens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
106,1122,"Romanel-sur-Morges","1122 Romanel-sur-Morges","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
107,1123,"Aclens","1123 Aclens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
108,1124,"Gollion","1124 Gollion","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
109,1125,"Monnaz","1125 Monnaz","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
110,1126,"Vaux-sur-Morges","1126 Vaux-sur-Morges","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
111,1127,"Clarmont","1127 Clarmont","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
112,1128,"Reverolle","1128 Reverolle","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
113,1131,"Tolochenaz","1131 Tolochenaz","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
114,1132,"Lully VD","1132 Lully VD","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
115,1134,"Chigny","1134 Chigny","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
116,1134,"Vufflens-Château","1134 Vufflens-Château","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
117,1135,"Denens","1135 Denens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
118,1136,"Bussy-Chardonney","1136 Bussy-Chardonney","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
119,1141,"Sévery","1141 Sévery","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
120,1142,"Pampigny","1142 Pampigny","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
121,1143,"Apples","1143 Apples","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
122,1144,"Ballens","1144 Ballens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
123,1145,"BiÁre","1145 BiÁre","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
124,1146,"Mollens VD","1146 Mollens VD","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
125,1147,"Montricher","1147 Montricher","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
126,1148,"Chavannes-Veyron","1148 Chavannes-Veyron","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
127,1148,"Cuarnens","1148 Cuarnens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
128,1148,"La Coudre","1148 La Coudre","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
129,1148,"La Praz","1148 La Praz","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
130,1148,"L'Isle","1148 L'Isle","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
131,1148,"Mauraz","1148 Mauraz","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
132,1148,"Moiry VD","1148 Moiry VD","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
133,1148,"Mont-la-Ville","1148 Mont-la-Ville","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
134,1148,"Villars-Bozon","1148 Villars-Bozon","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
135,1149,"Berolle","1149 Berolle","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
136,1162,"St-Prex","1162 St-Prex","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
137,1163,"Etoy","1163 Etoy","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
138,1164,"Buchillon","1164 Buchillon","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
139,1165,"Allaman","1165 Allaman","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
140,1166,"Perroy","1166 Perroy","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
141,1167,"Lussy-sur-Morges","1167 Lussy-sur-Morges","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
142,1168,"Villars-sous-Yens","1168 Villars-sous-Yens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
143,1169,"Yens","1169 Yens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
144,1170,"Aubonne","1170 Aubonne","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
145,1172,"Bougy-Villars","1172 Bougy-Villars","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
146,1173,"Féchy","1173 Féchy","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
147,1174,"Montherod","1174 Montherod","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
148,1174,"Pizy","1174 Pizy","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
149,1175,"Lavigny","1175 Lavigny","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
150,1176,"St-Livres","1176 St-Livres","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
151,1180,"Rolle","1180 Rolle","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
152,1180,"Tartegnin","1180 Tartegnin","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
153,1182,"Gilly","1182 Gilly","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
154,1183,"Bursins","1183 Bursins","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
155,1184,"Luins","1184 Luins","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
156,1184,"Vinzel","1184 Vinzel","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
157,1185,"Mont-sur-Rolle","1185 Mont-sur-Rolle","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
158,1186,"Essertines-Rolle","1186 Essertines-Rolle","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
159,1187,"St-Oyens","1187 St-Oyens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
160,1188,"Gimel","1188 Gimel","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
161,1188,"St-George","1188 St-George","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
162,1189,"Saubraz","1189 Saubraz","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
163,1195,"Bursinel","1195 Bursinel","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
164,1195,"Dully","1195 Dully","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
165,1196,"Gland","1196 Gland","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
166,1197,"Prangins","1197 Prangins","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
167,1201,"GenÁve","1201 GenÁve","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
168,1202,"GenÁve","1202 GenÁve","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
169,1203,"GenÁve","1203 GenÁve","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
170,1204,"GenÁve","1204 GenÁve","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
171,1205,"GenÁve","1205 GenÁve","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
172,1206,"GenÁve","1206 GenÁve","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
173,1207,"GenÁve","1207 GenÁve","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
174,1208,"GenÁve","1208 GenÁve","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
175,1209,"GenÁve","1209 GenÁve","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
176,1212,"Grand-Lancy","1212 Grand-Lancy","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
